Gene ,XC1,XC3,C1,C3
AT3G27060,2581.531575,3406.185616,137.1396698,198.5870776
AT1G29910,197.474803,3167.737394,1.901343233,7018.356289
AT1G76180,237.1969201,2794.087607,63.20229158,825.3308101
AT5G49480,1540.659386,1910.641197,552.83838,275.0105379
AT2G18193,254.269277,1576.233756,15.33503501,114.796366
AT5G38420,45.94767915,989.1988931,2.456740936,2200.258191
AT5G24280,448.9788022,978.3855166,37.32812837,66.92116671
AT5G48720,1994.760068,946.2809263,204.7459513,32.67176314
AT2G34430,161.9279334,772.0952566,0,2434.425133
AT1G08260,146.0763957,729.7410197,20.40528363,88.32315239
AT3G07800,431.5802013,712.1070191,37.84433439,38.45378547
AT2G36910,290.9545337,679.6239502,134.8005039,228.2520231
AT2G21790,771.9999644,677.5794186,181.321815,254.3140281
AT5G64040,26.19247656,675.9802312,0.59458939,1369.036006
AT4G02390,461.6789473,667.8744892,29.32412449,24.53638179
AT5G48020,392.9192483,588.0408756,78.57651827,88.12267192
AT1G32060,38.29219058,576.0092469,3.090522014,1176.577235
AT1G70850,36.95944386,566.7067224,0,1159.809065
AT3G01500,46.02490208,541.1651202,1.267562155,1488.039413
AT5G66140,370.7475734,519.3856228,136.2315469,119.6177556
AT5G38430,28.51176909,495.9020464,1.822959859,1207.181928
AT4G21070,178.3772976,428.6582727,6.141852341,29.64672
AT1G20020,17.10706145,390.3421843,1.822959859,840.0394986
AT5G20630,60.42655634,371.819952,1.189178781,2070.648323
AT5G06640,47.30038275,369.1877639,1.822959859,743.0212929
AT1G12080,26.44410223,345.9673423,0,705.4970078
AT1G17360,314.4789122,323.4499008,38.47811547,96.45853374
AT2G47680,257.2436621,315.419,77.34814781,37.38379969
AT5G49360,34.05967704,314.6166469,4.874290185,824.9298491
AT5G15540,578.5260061,310.312887,207.0851172,116.6447297
AT5G22010,589.9307138,300.696293,251.7767543,108.0199191
AT3G27630,175.3603941,287.2133079,7.370222809,0.924181813
AT5G02160,18.07365039,285.8821886,2.456740936,594.1551191
AT5G03780,508.9420209,273.6039615,56.66852237,14.37038184
AT3G13235,414.1668527,268.827869,162.3800519,132.1215483
AT1G09815,441.6122484,265.2350647,131.7558877,65.72626171
AT1G73330,27.21633155,257.0618517,0,715.8217187
AT3G45730,203.9519907,254.5290366,25.35795719,19.38959258
AT2G45460,582.9329224,248.7923279,143.0922778,36.00663972
AT4G37490,234.4741606,238.2875021,13.98908948,18.52008725
AT3G10500,527.1449511,236.8950359,202.4851688,79.68011639
AT2G37240,141.3605877,232.7734655,30.11467231,25.4605636
AT1G75690,27.62240308,217.5275112,6.259427402,107.4237963
AT5G60250,671.5224423,212.6226007,308.0858374,12.95677088
AT2G31320,296.385305,202.3459658,38.71326559,33.17941779
AT4G02110,241.5864841,198.9973033,27.10253367,34.1218251
AT5G40840,530.5505739,188.3182635,67.28603394,25.7130613
AT1G49050,22.42330061,184.8487586,4.279700795,69.87596712
AT5G20850,231.5717892,174.1776943,26.35117753,13.44620003
AT3G58270,657.6665578,174.0274066,222.1458104,11.52493442
AT3G62680,13.82117998,170.4775417,0,376.1966744
AT1G49980,276.7845482,170.2843147,88.59944045,60.41544303
AT5G56870,21.53393461,166.2541418,0.59458939,509.9114294
AT3G01600,25.53477934,157.7134877,5.468879576,25.80418878
AT4G22960,24.66537022,154.1985867,1.901343233,1.395385468
AT2G30250,124.1962602,150.3052072,35.5443602,54.07374881
AT4G11320,22.24889787,148.204242,0.633781078,636.5061122
AT5G55490,510.8326804,146.2320949,126.7965,6.451047195
AT2G46180,168.4996963,137.6699712,80.43866982,50.88467621
AT5G11460,21.28230893,137.6485015,1.228370468,19.84257074
AT5G23910,79.25247917,131.667651,2.456740936,19.75144325
AT5G66130,234.9748074,128.0533771,48.97805198,12.50379272
AT4G35740,149.9427515,124.2029369,31.89844048,26.27539243
AT5G51730,225.0598969,120.7898655,86.54133047,29.46446504
AT5G49110,161.1930132,117.8705964,39.26866329,12.8656434
AT5G47990,12.29407364,116.7167532,0,332.0675603
AT1G17460,150.4260459,115.0237117,54.6036983,18.52008725
AT1G72790,92.04980416,114.2992618,43.66593915,35.21003638
AT1G28410,59.72894537,110.9291297,13.51207515,49.81469042
AT3G02400,217.1128689,110.6420486,62.52931881,28.14198156
AT2G46610,373.2811824,109.029367,123.4383503,33.81465091
AT3G18940,123.2669804,104.9697489,57.89017875,51.57192657
AT5G64060,14.86499185,92.48480055,1.267562155,4.602683569
AT2G23150,70.36142369,85.894824,18.30798196,37.38379969
AT4G14970,85.86415588,82.30201979,42.24161025,29.62849451
AT1G51130,234.8776276,81.64995438,50.40238088,15.63818884
AT1G03440,79.0008535,76.9168012,30.67007002,36.04309071
AT3G19210,80.49065066,76.54384143,30.55249495,23.12277082
AT3G52115,119.84661,71.61746126,17.94854269,9.731247282
AT4G25330,13.97562584,70.54152129,0.633781078,0.452978158
AT1G13330,71.88853003,69.79560176,7.964812199,4.186156404
AT2G18600,137.3970522,69.32326913,61.21585089,7.429905498
AT4G19130,34.4457917,69.02821256,3.090522014,10.09309796
AT4G29170,131.811835,65.70899525,23.81605322,15.61996334
AT2G36780,470.4355138,59.79255378,149.9003888,5.055661727
AT3G20490,122.7637291,59.44106367,46.20106346,18.52008725
AT4G13370,46.27652776,58.19336638,1.189178781,21.2561817
AT5G45400,46.87435433,57.46891652,10.97695084,18.97306541
AT4G28950,175.6892427,55.16674892,21.51607904,6.958701843
AT3G42860,219.0087376,50.0900811,68.2725402,11.5978364
AT1G76790,15.73440098,48.42648471,45.37132395,146.4737046
AT1G02640,54.27821723,47.02052431,171.9259598,124.0564097
AT1G07500,531.554472,46.71197354,168.1758932,5.03743623
AT2G03090,23.29270974,38.43693093,65.58064914,80.85679589
AT1G64970,29.57553784,24.66134595,92.84666365,8.354087311
AT4G10265,383.7193011,18.70196515,180.296117,5.128563713
AT4G39500,96.34218833,16.57953033,36.06056622,0.471203655
